Designator,Mid X,Mid Y,Rotation,Layer
10K1,153.03,-44.45,270.0,top
D1,159.53,-47.45,90.0,top
J1,66.0,-61.31,180.0,top
J10,90.27,-38.525,90.0,top
J11,75.02,-77.475,90.0,top
J2,157.05,-39.95,90.0,top
J3,110.38,-38.525,90.0,top
J4,157.05,-69.95,90.0,top
J5,146.8,-39.95,90.0,top
J6,152.03,-79.7,90.0,top
J7,121.75,-77.25,90.0,top
J8,75.51,-38.5,90.0,top
J9,101.67,-77.25,270.0,top
Q1,147.0,-58.49,270.0,top
U1,103.991,-56.965,90.0,top
